x ; y ; z
-15.62;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
-0.06;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
-0.06;0.06;-0.67 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.67 
0.00;0.12;-0.67 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.79 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.12;-0.79 
0.00;0.06;-0.67 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.79 
-0.06;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.67 
0.06;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.79 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.06;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.67 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.06;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
-0.06;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.06;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.12;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.79 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
-15.62;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.00;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.12;-0.67 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
-0.06;0.06;-0.67 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.67 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.06;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.06;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.06;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.12;-0.67 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.12;-0.79 
0.00;0.12;-0.79 
-0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.67 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.67 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.79 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.67 
0.00;0.12;-0.73 
0.06;0.06;-0.73 
0.00;0.12;-0.79 
-0.06;0.12;-0.67 
0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
-0.06;0.06;-0.73 
-0.06;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.06;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.06;0.06;-0.79 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.06;-0.73 
0.00;0.12;-0.73 
-0.06;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.12;-0.73 
0.00;0.06;-0.73 
